Affiliation,PIs,Cancer type 
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Alejandro Martínez Carreón, MD, Universidad Veracruzana","Alejandro Martínez Carreón, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jason den Duijn, Erasmus Medical Center",Jason den Duijn,Lung cancer (Ongoing)
"STUDY_CHAIR, Anish Thomas, MD, National Cancer Institute (NCI)","Anish Thomas, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Stephanie Lee, Fred Hutch/University of Washington Cancer Consortium",Stephanie Lee,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Alice Lee, Children's Oncology Group",Alice Lee,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pamela Samson, M.D., MPHS, Washington University School of Medicine","Pamela Samson, M.D., MPHS",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pranshu Mohindra, Mayo Clinic Cancer Center LAO",Pranshu Mohindra,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Daniel Tan, BSc, MBBS, PhD, National Cancer Centre Singapore (Lead Sponsor)","Daniel Tan, BSc, MBBS, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Martin Reck, Prof. Dr., LungenClinic Grosshansdorf GmbH","Martin Reck, Prof. Dr.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tae-Yop Kim, MD, PhD, Konkuk University Medical Center","Tae-Yop Kim, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michael Offin, MD, Memorial Sloan Kettering Cancer Center","Michael Offin, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Rebecca Arend, M.D., University of Alabama at Birmingham","Rebecca Arend, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Ongoing)
"STUDY_DIRECTOR, George Wang, Ansun Biopharma, Inc.",George Wang,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Timur Lesbekov, PhD, MD, National research Center for Cardiac Surgery JSC","Timur Lesbekov, PhD, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Incyte Medical Monitor, Incyte Corporation",Incyte Medical Monitor,Lung cancer (Ongoing)
"STUDY_CHAIR, Sacha Rothschild, MD, Universitätsspital Basel","Sacha Rothschild, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Williams, Boston Children's Hospital",David Williams,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Martin Bögemann, Univ.-Prof. Dr. med., Universitätsklinikum Münster, Klinik für Urologie und Kinderurologie","Martin Bögemann, Univ.-Prof. Dr. med.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
